"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000103832",123.310547021823,1.02975039852167,0.241292981487831,4.26763510555569,1.97556124958999e-05,0.00129616091741392,"GOLGA8UP"
"ENSG00000107159",53.4102054483569,1.80355922390109,0.351121102850255,5.13657313462662,2.79793495589761e-07,4.13540935789263e-05,"CA9"
"ENSG00000124253",289.513595922067,1.22883820570875,0.175823191936551,6.98905640475577,2.76741154031305e-12,1.32934590061466e-09,"PCK1"
"ENSG00000143847",418.42214122571,1.08619883462111,0.13757265449607,7.89545595816164,2.89255804980486e-15,2.43155661061721e-12,"PPFIA4"
"ENSG00000164707",104.342866267419,1.10137935131648,0.24617833485747,4.4739085263297,7.68026084129529e-06,0.000611239694174093,"SLC13A4"
"ENSG00000167074",124.360184391337,1.24555700389818,0.209066914517277,5.9576954429834,2.55819686679998e-09,7.32079741669356e-07,"TEF"
"ENSG00000171872",50.5936040887259,1.29072911555715,0.329754258092967,3.91421515834758,9.06987346717757e-05,0.00409067171913194,"KLF17"
"ENSG00000218426",1149.51199848092,1.76898407900039,0.0928233324081256,19.0575368617722,5.68907813557274e-81,7.65181009234533e-77,""
"ENSG00000260075",50.9431983662108,1.99133662997498,0.472302608329131,4.21623043120543,2.48419923129256e-05,0.00151187690773235,"NSFP1"
"ENSG00000263606",102.179749083849,1.07757559027216,0.261484267081127,4.12099589126652,3.77238154177526e-05,0.00209663354284616,"CHORDC1P4"
"ENSG00000272734",370.142674052702,1.11160911583554,0.166644182210964,6.67055459774946,2.54838544997517e-11,1.03866013036867e-08,"ADIRF-AS1"
